pack_id,operator,slug,category,data_mb,minutes,validity_d,price_bdt,description
P001,GP,1gb_1d,data,1024,0,1,69,1GB for 1 day; ideal for quick social/video.
P002,GP,3gb_3d,data,3072,0,3,99,3GB for 3 days; balanced daily browsing.
P003,GP,5gb_7d,data,5120,0,7,199,5GB weekly; students & social users.
P004,GP,10gb_30d,data,10240,0,30,499,"10GB monthly; steady users, YouTube."
P005,GP,bl_social_3d,social,2048,0,3,49,"2GB social-only (FB/WA), 3 days."
P006,GP,min_100_7d,voice,0,100,7,89,"100 mins, 7 days."
P007,Robi,2gb_3d,data,2048,0,3,88,"2GB/3d; short trips, OTT lite."
P008,Robi,7gb_7d,data,7168,0,7,219,7GB weekly; video+social.
P009,Robi,combo_2gb_200m_7d,combo,2048,200,7,249,2GB + 200 mins weekly combo.
P010,Banglalink,1.5gb_2d,data,1536,0,2,79,1.5GB 2 days; bursts.
P011,Banglalink,10gb_7d,data,10240,0,7,299,10GB weekly; heavy video.
P012,Banglalink,min_250_30d,voice,0,250,30,199,250 mins monthly.
